Date,Joy,Sad,Fear,Anger
2020-03-23,0.38697081792026305,0.3450472667488697,0.1302918207973695,0.13769009453349773
2020-03-24,0.44433115823817293,0.3105628058727569,0.12234910277324633,0.12275693311582382
2020-03-25,0.40614754098360656,0.33709016393442626,0.1151639344262295,0.1415983606557377
2020-03-26,0.3969167523124358,0.33792394655704006,0.11510791366906475,0.1500513874614594
2020-03-27,0.39254837381638535,0.338205022643063,0.1198023878139152,0.14944421572663646
2020-03-28,0.40730106644790814,0.3695652173913043,0.0992616899097621,0.12387202625102543
2020-03-29,0.42953569237062794,0.3383104929433422,0.10656575986909389,0.12558805481693597
2020-03-30,0.40119267941599834,0.37322640345465763,0.09130166563849476,0.13427925149084927
2020-03-31,0.3720164609053498,0.36790123456790125,0.10658436213991769,0.1534979423868313
2020-04-01,0.3815734989648033,0.36086956521739133,0.11159420289855072,0.14596273291925466
2020-04-02,0.3986416958221856,0.3467791726692735,0.108458530561844,0.14612060094669685
2020-04-03,0.4517262766177383,0.30018606574322926,0.10688443249948315,0.1412032251395493
2020-04-04,0.4681647940074906,0.303578859758635,0.09404910528506034,0.13420724094881398
2020-04-05,0.6489455184534271,0.1812390158172232,0.060413005272407734,0.109402460456942
2020-04-06,0.44789724466542363,0.3414128858504247,0.08991091775429874,0.12077895172985291
2020-04-07,0.4655278863963779,0.3251697880222268,0.09117102284420663,0.11813130273718872
2020-04-08,0.535289290110792,0.28826425933524824,0.07940090274928191,0.09704554780467788
2020-04-09,0.511536876802637,0.29975278121137205,0.08570251339101771,0.10300782859497322
2020-04-10,0.444513201320132,0.3615924092409241,0.08993399339933994,0.10396039603960396
2020-04-11,0.44478780387309436,0.3759785743716522,0.07457766790276062,0.1046559538524928
2020-04-12,0.4712096106048053,0.34569179784589893,0.08305716652858326,0.1000414250207125
2020-04-13,0.46626655629139074,0.34105960264900664,0.07967715231788079,0.11299668874172185
2020-04-14,0.4140689089417555,0.40668580803937654,0.06706316652994257,0.11218211648892534
2020-04-15,0.4513989637305699,0.345699481865285,0.07958549222797927,0.12331606217616581
2020-04-16,0.44614430432086005,0.3309902832334091,0.08455654331197023,0.1383088691337606
2020-04-17,0.4429516329061596,0.3532451426209177,0.07523770152955767,0.12856552294336504
2020-04-18,0.45248402391259535,0.3516800659657803,0.08905380333951762,0.10678210678210678
2020-04-19,0.4444902162718847,0.349124613800206,0.07641606591143152,0.12996910401647785
2020-04-20,0.4380540094825809,0.3508554937126366,0.08328179756751185,0.12780869923727067
2020-04-21,0.43488994034149353,0.3591853528080642,0.07858465336350545,0.12734005348693683
2020-04-22,0.4679315322746958,0.33202722210765107,0.07712930501134255,0.12291194060631058
2020-04-23,0.4767321613236815,0.3385729058945191,0.07942088934850051,0.10527404343329887
2020-04-24,0.48926507018992565,0.33236994219653176,0.07906688687035508,0.09929810074318744
2020-04-25,0.4614587650227932,0.35329465395772897,0.0762536261914629,0.10899295482801492
2020-04-26,0.4729785478547855,0.3752062706270627,0.056518151815181515,0.0952970297029703
2020-04-27,0.45650372825186414,0.3715824357912179,0.07207953603976802,0.09983429991714995
2020-04-28,0.4506837961044343,0.36759220886862826,0.0727310401989225,0.10899295482801492
2020-04-29,0.4380012338062924,0.3814517787374049,0.07875796833230517,0.10178901912399753
2020-04-30,0.4247824285122254,0.3907998342312474,0.07335267302113552,0.11106506423539163
2020-05-01,0.4664310954063604,0.38079401371856164,0.057160673456661815,0.09561421741841614
2020-05-02,0.4629667835774706,0.37383948834330516,0.06498865277491232,0.09820507530431194
2020-05-03,0.5017428747180643,0.3510354726266147,0.06376871027270863,0.08345294238261226
2020-05-04,0.3895300906842539,0.42353668590272053,0.07069249793899422,0.11624072547403133
2020-05-05,0.42780082987551865,0.3950207468879668,0.07199170124481327,0.10518672199170125
2020-05-06,0.42626680455015514,0.40558428128231644,0.07590486039296794,0.09224405377456049
2020-05-07,0.4002057613168724,0.4189300411522634,0.07921810699588477,0.10164609053497943
2020-05-08,0.4085001031565917,0.43222611924902,0.06828966370951103,0.09098411388487725
2020-05-09,0.430622009569378,0.40024963594757645,0.07093821510297482,0.09819013938007073
2020-05-10,0.44380218368657676,0.3969171483622351,0.07407407407407407,0.08520659387711411
2020-05-11,0.40016535758577926,0.4150475403059115,0.07234394377842084,0.11244315832988838
2020-05-12,0.5211092715231788,0.3367135761589404,0.06394867549668874,0.07822847682119205
2020-05-13,0.4556901876930387,0.37728676645283915,0.07127583749109052,0.0957472083630316
2020-05-14,0.4280709948622139,0.3893040635217188,0.08524054180289584,0.09738439981317142
2020-05-15,0.42976662263320126,0.39828269484808454,0.07353588727432848,0.09841479524438573
2020-05-16,0.42850838481906445,0.3971756398940865,0.07789055604589586,0.09642541924095323
2020-05-17,0.4267938614682704,0.4305267523849025,0.05993363749481543,0.08274574865201162
2020-05-18,0.3974358974358974,0.4003308519437552,0.08209263854425145,0.12014061207609594
2020-05-19,0.4214970333181196,0.38977635782747605,0.07736193518941123,0.11136467366499316
2020-05-20,0.4321821821821822,0.3938938938938939,0.07682682682682683,0.0970970970970971
2020-05-21,0.4279176201372998,0.3999491482329011,0.07882023900330537,0.09331299262649377
2020-05-22,0.41646489104116224,0.4110842076943772,0.07775087436104386,0.09470002690341674
2020-05-23,0.4550930996714129,0.40416210295728366,0.06489594742606791,0.07584884994523548
2020-05-24,0.4087211929507456,0.4254405784003615,0.078852236782648,0.08698599186624492
2020-05-25,0.41174913998412277,0.41148451971421013,0.07568139719502513,0.10108494310664197
2020-05-26,0.38310154815009184,0.4305956441878772,0.07609551298871688,0.1102072946733141
2020-05-27,0.39055204614117,0.410601483109036,0.08349354572919528,0.11535292502059874
2020-05-28,0.3972174900624645,0.40176036342986937,0.08858603066439523,0.11243611584327087
2020-05-29,0.3848322526078376,0.40372145475049337,0.09360022554271215,0.11784606709895687
2020-05-30,0.4567342073897497,0.367818831942789,0.06555423122765197,0.1098927294398093
2020-05-31,0.4212225570383125,0.358803271631511,0.08200602668962548,0.13796814464055102
2020-06-01,0.38589818607372733,0.43300175541252195,0.07694558221181978,0.10415447630193095
2020-06-02,0.3867924528301887,0.4173715029277814,0.08100195185426155,0.11483409238776839
2020-06-03,0.3396981829380967,0.3942100400369572,0.10009239297813366,0.16599938404681244
2020-06-04,0.36792452830188677,0.43429919137466305,0.07277628032345014,0.125
2020-06-05,0.40349740932642486,0.41904145077720206,0.06865284974093264,0.10880829015544041
2020-06-06,0.3695652173913043,0.44501278772378516,0.0748081841432225,0.11061381074168798
2020-06-07,0.36673124827013565,0.4284528092997509,0.08109604207030169,0.12371990035981179
2020-06-08,0.371303074670571,0.42489019033674963,0.08960468521229868,0.11420204978038068
2020-06-09,0.38893766461808604,0.4261047702663155,0.08604038630377524,0.09891717881182324
2020-06-10,0.3890207715133531,0.4370919881305638,0.08486646884272997,0.08902077151335312
2020-06-11,0.3972939729397294,0.43050430504305043,0.07872078720787208,0.09348093480934809
2020-06-12,0.3528514791094846,0.46752058554437326,0.07502287282708142,0.1046050625190607
2020-06-13,0.39736399326977007,0.43157599551318004,0.07823892316320807,0.09282108805384184
2020-06-14,0.3469387755102041,0.4852607709750567,0.07482993197278912,0.09297052154195011
2020-06-15,0.3726859937128886,0.44882989870764933,0.08662242403073699,0.09186168354872512
2020-06-16,0.3640793595544727,0.42429516185172295,0.09432648799164636,0.11729899060215802
2020-06-17,0.37413862991487634,0.4142683421159303,0.08715038508309687,0.12444264288609648
2020-06-18,0.39943741209563993,0.4083450539146742,0.07407407407407407,0.11814345991561181
2020-06-19,0.33235969121635717,0.36198622991863133,0.1381180888796161,0.16753598998539537
2020-06-20,0.3547044129891757,0.3488759367194005,0.13301415487094087,0.16340549542048294
2020-06-21,0.358298755186722,0.3394190871369295,0.13817427385892117,0.16410788381742739
2020-06-22,0.32939958592132507,0.3650103519668737,0.13643892339544514,0.16915113871635612
2020-06-23,0.32542302930251754,0.33594717292612464,0.13867106892282294,0.19995872884853488
2020-06-24,0.34193148988856786,0.359678085018572,0.13041683862979778,0.16797358646306232
2020-06-25,0.32502061005770816,0.3623248145094806,0.14014839241549876,0.17250618301731244
2020-06-26,0.30388109000825764,0.39801816680429397,0.12427745664739884,0.17382328654004955
2020-06-27,0.32932891466445735,0.4183927091963546,0.11329743164871582,0.13898094449047224
